Id,Title,Body,Tags,Type
,"Some questions about PDO, safety and correct syntax","<p>I apologize if this may be a ready-made topic, but I need an answer in detail. I would like to learn to program in PDO, but I have lots of bases being self-taught.</p>
 
 <p>I have a few simple questions:</p>
 
 <p>1) Program in PDO is equally satisfying to create your own scripts or is an old and unsafe method? Schedule in OOP when I get quite complex.</p>
 
 <p>2) programming in PDO, what are the correct Prepared Statement to be written? Pass the data-bind?</p>
 
 <p>3) As an example of security, this script for login and user registration using a library to encrypt your password, so it is quite safe against attacks? </p>
 
 <p><a href=""http://thisinterestsme.com/php-user-registration-form/"" rel=""nofollow"">http://thisinterestsme.com/php-user-registration-form/</a></p>
 
 <p>I repeat, I know that I would find some answers to my questions, but I need answers to my details, thanks.</p>",<php><mysql><pdo>,1
,How to make an image of a <ImageBackground> tag darker (React Native),"I'm trying to create an image with a text on it, and in order for the the text to be clearly seen I need to make the image darker. Also (don't sure if it matters or not) I need the background image to be touchable. This question was asked several times here and I've seen some answers, but none of them worked for me, so I'm wondering if I'm missing something more crucial here.

My code is the following:

<View style={postStyles.container}>
<TouchableOpacity onPress={() => 
this.props.navigation.navigate('AnotherWindow')}>
    <ImageBackground source={require('../../assets/images/my_img.jpg')} 
     style={{width: '100%', height: 150}}>
            <Text style={postStyles.title} numberOfLines={2}>
                My text
             </Text>
    </ImageBackground></TouchableOpacity>
From looking around here, I've tried the following solutions:

Tried to wrap the text element inside the imagebackground tag inside a View element that has a style property of ""backgroundColor"" with value of 'rgba(255,0,0,0.5)' (also tried different values),
Tried to add this backgroundColor property to the styles of both the container itself, the TouchableOpacity element
Tried to above two solutions with the ""elevation"" property instead of backgroundColor (I work in Android).
None of the above solutions worked, in a sense that the background image didn't change at all, so I'm wondering if I'm missing something more crucial.

Thanks!",<react-native>,1
,Android EditText with different floating label and placeholder,"<p>How can i create an editText that looks like this?</p>

<p><a href=""https://i.stack.imgur.com/jB2pV.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/jB2pV.png"" alt=""Edit Text with placeholder and label""></a></p>
",<android><material-design>,1
,Material Card View Change Ripple Color,"I am having a Material Card View in android studio and when i click on it its having the default gray black ripple can i change the ripple color to something else for example colorPrimary.

Below is my Material Card View

<com.google.android.material.card.MaterialCardView
            android:id=""@+id/mcv_advert_preview""
            android:layout_width=""match_parent""
            android:layout_height=""wrap_content""
            android:clickable=""true""
            android:focusable=""true""
            android:theme=""@style/MaterialTheme""
            app:cardCornerRadius=""5dp""
            app:cardElevation=""1dp""
            app:cardUseCompatPadding=""true""
            app:contentPadding=""10dp""
            app:strokeWidth=""1dp"">

 </com.google.android.material.card.MaterialCardView>","<android>
<android-cardview>
<material-components-android
ripple>
<materialcardview>",1
,Assigning values to a pointer,"I have a bit of trouble understanding the concept of pointers, and one of them is this:
Let us declare an integer type variable n, and a pointer to it *p.
int n=23,*p;
Now,
p=&n;, if I am not wrong, assigns the address of variable n (say, 3000) to p.
So cout<<p<<"" ""<<*p; would output 3000 and 23 respectively.
My doubt here is that suppose we did something like this:
p=5; i.e. assigning a numerical value to a variable designed to hold memory locations, what would happen?
Is the variable moved to the memory location '5' (most likely not) or is the pointer just converted to an 'int' and made to hold the value 5? I would have tried this out myself, only messing with my system's memory made me have second thoughts.

Also, when we declare any variable (suppose int with 2 bytes space), is it stored in a random memory location like 3000, 101, 2700 or something, or is it stored in 0,2,4,etc.? And is the next variable declared stored right in the next one (like 3002, 103 or 2702), or is there some kind of gap in-between?","<c++>
<pointers>
<dev-c++>",1
,Django rest framework override page_size in ViewSet,"<p>I am having problem with django rest framework pagination.
I have set pagination in settings like -</p>

<pre><code>'DEFAULT_PAGINATION_CLASS':'rest_framework.pagination.PageNumberPagination',
'PAGE_SIZE': 1
</code></pre>

<p>Below is my viewset. </p>

<pre><code>class HobbyCategoryViewSet(viewsets.ModelViewSet):    
    serializer_class = HobbyCategorySerializer
    queryset = UserHobbyCategory.objects.all()
</code></pre>

<p>I want to set different page size for this viewset. I have tried setting page_size and Paginate_by class variables but list is paginated according to PAGE_SIZE defined in settings. Any idea where I am wrong ?</p>
",<python><django><django-rest-framework>,1
,Django Rest Framework How to update SerializerMethodField,"<p>I have a serializer like this:</p>

<pre><code>class PersonSerializer(serializers.ModelSerializer):
    gender = serializers.SerializerMethodField()
    bio = BioSerializer()

    class Meta:
        model = Person
        fields = UserSerializer.Meta.fields + ('gender', 'bio',)

    def get_gender(self, obj):
        return obj.get_gender_display()
</code></pre>

<p>I used this to display ""Male"" and ""Female""(insted of ""M"" of ""F"") while performing GET request. </p>

<p>This works fine. </p>

<p>But now I am writing an patch method for the model and <code>SerializerMethodField()</code> has <code>read_only=True</code>. So I am not getting value passed for gender field in <code>serializer.validated_data()</code>. How to overcome this issue?</p>
",<python><django><django-rest-framework><django-serializer>,1
,Connect new celery periodic task in django,"<p>It's not a question but help to those who will find that the declaration of periodic tasks described in celery 4.0.1 documentation is hard to integrate in django:
<a href=""http://docs.celeryproject.org/en/latest/userguide/periodic-tasks.html#entries"" rel=""noreferrer"">http://docs.celeryproject.org/en/latest/userguide/periodic-tasks.html#entries</a></p>

<p>copy paste celery config file <code>main_app/celery.py</code>:</p>

<pre><code>from celery import Celery
from celery.schedules import crontab

app = Celery()

@app.on_after_configure.connect
def setup_periodic_tasks(sender, **kwargs):
    # Calls test('hello') every 10 seconds.
    sender.add_periodic_task(10.0, test.s('hello'), name='add every 10')

    # Calls test('world') every 30 seconds
    sender.add_periodic_task(30.0, test.s('world'), expires=10)

    # Executes every Monday morning at 7:30 a.m.
    sender.add_periodic_task(
        crontab(hour=7, minute=30, day_of_week=1),
        test.s('Happy Mondays!'),
    )

@app.task
def test(arg):
    print(arg)
</code></pre>

<h3>Question</h3>

<p>But what if we use django and our tasks are placed in another app? With celery <code>4.0.1</code> we no longer have <code>@periodic_task</code> decorator. So let's see what we can do. </p>

<h3>First case</h3>

<p>If you prefer to keep tasks and their schedule close to each other:</p>

<p><code>main_app/some_app/tasks.py</code></p>

<pre><code>from main_app.celery import app as celery_app

@celery_app.on_after_configure.connect
    def setup_periodic_tasks(sender, **kwargs):
        # Calls test('hello') every 10 seconds.
        sender.add_periodic_task(10.0, test.s('hello'))

@celery_app.task
def test(arg):
    print(arg)
</code></pre>

<p>We can run <code>beat</code> in debug mode:</p>

<pre><code>celery -A main_app beat -l debug
</code></pre>

<p>and we will see that there's no such periodic task.</p>

<h3>Second case</h3>

<p>We can try to describe all periodic tasks in config file like this:</p>

<p><code>main_app/celery.py</code></p>

<pre><code>...
app = Celery()

@app.on_after_configure.connect
def setup_periodic_tasks(sender, **kwargs):
    # Calls test('hello') every 10 seconds.
    from main_app.some_app.tasks import test
    sender.add_periodic_task(10.0, test.s('hello'))
...
</code></pre>

<p>The result is the same. But it will behave differently that you can see with manual debugging via pdb. In first example <code>setup_periodic_tasks</code> callback will not be fired at all. But in second example we'll get <code>django.core.exceptions.AppRegistryNotReady: Apps aren't loaded yet.</code> (this exception will not be print out)</p>
",<python><django><celery>,1
,How to insert data into SQLite3 database with Python?,"I need to insert data into SQLite3 database using Python. I have written the query but it's not working as I expected. My code is below.

conn = sqlite3.connect(""db.sqlite3"")
cursor = conn.cursor()
location_name = request.POST.get('lname')
rname = request.POST.get('rname')
seat = request.POST.get('seat')
projector = request.POST.get('projector')
video = request.POST.get('video')
location_name = location_name[0:255]
rname = rname[0:255]
seat = seat[0:10]
from_date = request.POST.get('from_date')
to_date = request.POST.get('from_date')
current_datetime = datetime.datetime.now()
now = current_datetime.strftime(""%Y-%m-%d %H:%M"")
cursor.execute(""INSERT INTO booking_meeting (room_name,from_date,to_date,no_seat,projector,video,created_date,location_name) \ VALUES (rname, from_date, to_date, seat, projector, video, now, location_name  )"")

conn.commit()
Here I am giving the dynamic value and no data is inserting into table.",<python><sqlite>,1
,"How to make such database record in php mysql such that A inform B,B inform C,and C inform D such that when I look at who A answer should be B,C,D?","<p>How to make such database record in php mysql such that A inform B,B inform C,and C inform D such that when I look at who A answer should be B,C,D?</p>
",<php><mysql><sql><database>,1
