Id,Title,Body,Tags,Type
,How to fix this code ? PHP PDO,"Hi all how to fix this code ??
 
 
 
  ` function userExists($pdow, $login)
 
   {
 
   $userQuery = ""SELECT * FROM login u WHERE login=:user;"";
 
   $stmt = $pdow->prepare($userQuery);
 
   $stmt->execute(array(':user' => $login));
 
   return !!$stmt->fetch(PDO::FETCH_ASSOC);
 
   }
 
  
 
   $login = 'user';
 
   $exists = userExists($pdow, $login);
 
   if('$login')
 
   $user= var_dump((bool) 'Exists');
 
   {
 
   echo ""Login exsists!"";
 
   }`
 
 
 
 I have two problems whit my code. 
 
 
 
 First error:
 
 Error with communique 'login exsists!'. I see this echo all the time in browser.
 
 
 
 sequent error:
 
 If i get communique 'login exsists!' my code still writes data to base.",php mysql pdo mariadb,1
,Text Overlay Image with Darkened Opacity React Native,"<p>I am attempting to overlay a title over an image - with the image darkened with a lower opacity. However, the opacity effect is changing the overlaying text as well - making it dim. Any fix to this? Here is what is looks like:</p>

<p><a href=""https://i.stack.imgur.com/1HzD7.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/1HzD7.png"" alt=""enter image description here""></a></p>

<p>And here is my code for the custom component (article preview - which the above image is a row of article preview components): </p>

<pre><code>//component for article preview touchable image
/* will require the following
- rss feed and api
- user's keyword interests from parse In home.js
- parse db needs to be augmented to include what they heart
- parse db needs to be augmented to include what they press on (like google news)
*/
var React = require('react-native');
var {
  View, 
  StyleSheet, 
  Text, 
  Image, 
  TouchableHighlight, 
} = React;

//dimensions
var Dimensions = require('Dimensions');
var window = Dimensions.get('window');
var ImageButton = require('../../common/imageButton');
var KeywordBox = require('../../authentication/onboarding/keyword-box');

//additional libraries

module.exports = React.createClass({
  //onPress function that triggers when button pressed
  //this.props.text is property that can be dynamically filled within button 
  /* following props:
    - source={this.props.source}
    - onPress={this.props.onPress}
    - {this.props.text}
    - {this.props.heartText}
    - key={this.props.key} 
    - text={this.props.category} 
    - this.props.selected
  */
  render: function() {
    return (
      &lt;TouchableHighlight 
        underlayColor={'transparent'}
        onPress={this.props.onPress} &gt;
          &lt;Image 
            source={this.props.source} 
            style={[styles.articlePreview, this.border('red')]}&gt;
                  &lt;View style={[styles.container, this.border('organge')]}&gt;
                      &lt;View style={[styles.header, this.border('blue')]}&gt;
                          &lt;Text style={[styles.previewText]}&gt;{this.props.text}&lt;/Text&gt;
                      &lt;/View&gt;
                      &lt;View style={[styles.footer, this.border('white')]}&gt;
                        &lt;View style={[styles.heartRow, this.border('black')]}&gt;
                          &lt;ImageButton
                              style={[styles.heartBtn, , this.border('red')]}
                              resizeMode={'contain'}
                              onPress={this.onHeartPress}
                              source={require('../../img/heart_btn.png')} /&gt;
                          &lt;Text style={[styles.heartText]}&gt;{this.props.heartText + ' favorites'}&lt;/Text&gt;
                        &lt;/View&gt;
                          &lt;KeywordBox 
                              style={[styles.category, this.border('blue')]}
                              key={this.props.key} 
                              text={this.props.category} 
                              onPress={this.props.categoryPress}
                              selected={this.props.selected} /&gt;
                      &lt;/View&gt;
                  &lt;/View&gt;
          &lt;/Image&gt;
      &lt;/TouchableHighlight&gt;
    );
  }, 
  onHeartPress: function() {
    //will move this function to a general module
  }, 
  border: function(color) {
      return {
        //borderColor: color, 
        //borderWidth: 4,
      } 
   },
});

var styles = StyleSheet.create({
  heartText: {
    color: 'white', 
    fontSize: 12, 
    fontWeight: 'bold',
    alignSelf: 'center', 
    marginLeft: 5, 
    fontFamily: 'SFCompactText-Medium'
  }, 
  heartRow: {
    flexDirection: 'row', 
    justifyContent: 'space-around', 
    alignSelf: 'center', 
    justifyContent: 'center', 
  }, 
  heartBtn: {
    height: (92/97)*(window.width/13), 
    width: window.width/13, 
    alignSelf:'center', 
  }, 
  category: {
    fontFamily: 'Bebas Neue', 
    fontSize: 10,
    fontWeight: 'bold'
  }, 
  header: {
    flex: 3, 
    alignItems: 'center', 
    justifyContent: 'space-around', 
    marginTop: window.height/30,
  }, 
  footer: {
    flex: 1, 
    flexDirection: 'row', 
    justifyContent: 'space-between', 
    alignItems: 'center', 
    margin: window.height/50,
  }, 
  container: {
    flex: 1, 
    backgroundColor: 'black', 
    opacity: 0.6, 
  }, 
  articlePreview: {
    flex: 1, 
    height: window.height/3.2, 
    width: window.width, 
    flexDirection: 'column'
  }, 
  previewText: {
    fontFamily: 'Bebas Neue', 
    fontSize: 23,
    color: 'white', 
    alignSelf: 'center', 
    textAlign: 'center', 
    margin: 5, 
    position: 'absolute',
    top: 0,
    right: 0,
    bottom: 0,
    left: 0
  }, 

});
</code></pre>
",javascript image overlay react-native opacity,1
,how to apply floating lable to edit text in android in java file instead of xml,I want to know is there any way we can apply floating lable for edit text using java instead of xml. If yes please tell me the way how to do the same.,android material-design,1
,No ripples for MaterialCardView,"<p>Are there no ripples on the new <code>MaterialCardView</code>?</p>

<p>I used <code>CardView</code> with <code>android:clickable=""true""</code> and <code>android:foreground=""?android:attr/selectableItemBackground""</code> which worked fine but with the new <code>MaterialCardView</code> there are no ripples at all ðŸ˜°.</p>

<p>Other <code>View</code>s etc. keep working but I want my <em>card</em> to be clickable (with ripple as feedback).</p>
",android material design material components,1
,assigning an address to a pointer,"I wanted to know if there are alternative ways of assigning a pointer the address of the value its pointing to. For example, there's the usual way:

int a = 10;
int *ptr;
ptr = &a;
but at some places I see it declared like:

int *ptr = &a;
Are both of these ways equivalent? I am slightly confused because I always considered *ptr as giving the value of a, and not the address. Could anyone please explain? Thanks.","c++
c
pointers",1
,why is logged_out.html not overriding in django registration?,"<p>I am using built-in django login and logout. In my Project/urls.py i have added url's for both login and logout.</p>

<pre><code>from django.conf.urls import include, url
from account import views
from django.contrib.auth import views as auth_views
from django.contrib import admin
urlpatterns = [
    url(r'^admin/', include(admin.site.urls)),
    url(r'^$',views.index,name='Index'),
    url(r'^accounts/login/$',auth_views.login,name='login'),
    url(r'^accounts/logout/$',auth_views.logout,name='logout'),
    url(r'^accounts/register/$',views.register,name='register'),
    url(r'^accounts/profile/$',views.profile,name='profile'),    
]
</code></pre>

<p>and i've templates folder inside my account app folder. i have directory structure like this</p>

<pre><code>account
   -templates
      -registration
          -login.html
          -logged_out.html
          -register.html
      -rest_html_files
-rest files
</code></pre>

<p>i've read django docs which say that for login() default template is registration/login.html which is working fine in my project and logout() default template is registration/logged_out.html if no arguments is supplied but whenever it Logout button ( which has a  href={% url 'logout' %} ) is clicked it redirects to the admin logout page rather than my custom logout page. 
what could possibly be wrong??</p>
",python django django-templates,1
,Django-Rest-Framework. Updating nested object,"<p>I'm having a problem of updating a nested object.</p>

<p>So I have a model which structure is similar to this one:</p>

<pre><code>class Invoice(models.Model):
    nr = models.CharField(max_length=100)
    title = models.CharField(max_length=100)

class InvoiceItem(models.Model):
    name = models.CharField(max_length=100)
    price = models.FloatField()
    invoice = models.ForeignKey(Invoice, related_name='items')
</code></pre>

<p>I need to create child objects from parent, and what I mean by that, is to create <code>InvoiceItems</code> directly when creating an <code>Invoice</code> object.
For this purpose, I've wrote the following serializers:</p>

<pre><code>class InvoiceItemSerializer(serializers.ModelSerializer):
    invoice = serializers.PrimaryKeyRelatedField(queryset=Invoice.objects.all(), required=False)
    class Meta:
        model = InvoiceItem


class InvoiceSerializer(serializers.ModelSerializer):
    items = InvoiceItemSerializer(many=True)

    class Meta:
        model = Invoice

    def create(self, validated_data):
        items = validated_data.pop('items', None)
        invoice = Invoice(**validated_data)
        invoice.save()
        for item in items:
            InvoiceItem.objects.create(invoice=invoice, **item)
        return invoice
</code></pre>

<p>Up till now, the create/read/delete methods work perfectly, except the <code>update</code>.
I think the below logic should be correct, but it misses something.</p>

<pre><code>def update(self, instance, validated_data):
    instance.nr = validated_data.get('nr', instance.nr)
    instance.title = validated_data.get('title', instance.title)
    instance.save()

    # up till here everything is updating, however the problem appears here.
    # I don't know how to get the right InvoiceItem object, because in the validated
    # data I get the items queryset, but without an id.

    items = validated_data.get('items')
    for item in items:
        inv_item = InvoiceItem.objects.get(id=?????, invoice=instance)
        inv_item.name = item.get('name', inv_item.name)
        inv_item.price = item.get('price', inv_item.price)
        inv_item.save()

    return instance
</code></pre>

<p>Any help would be really appreciated.</p>
",python django rest django-rest-framework,1
,celery periodic tasks not executing,"<p>I am learning celery and I created a project to test my configuration. I installed <code>celery==4.0.0</code> and <code>django-celery-beat==1.0.1</code> according to the latest documentation.</p>

<p>In drf_project(main project dir with manage.py)/drf_project/celery.py</p>

<pre><code>from __future__ import absolute_import, unicode_literals
from celery import Celery
import os
os.environ.setdefault('DJANGO_SETTINGS_MODULE', 'drf_project.settings')
app = Celery('drf_project')
app.config_from_object('django.conf:settings', namespace='CELERY')
app.autodiscover_tasks()
</code></pre>

<p>In drf_project/drf_project/settings.py</p>

<pre><code>INSTALLED_APPS += ('django_celery_beat',)
CELERYBEAT_SCHEDULE = {
    ""test_1"": {
        ""task"": ""tasks.print_test"",
        ""schedule"": timedelta(seconds=2),
    },
}
</code></pre>

<p>In drf_project/drf_project/<strong>init</strong>.py</p>

<pre><code>from __future__ import absolute_import, unicode_literals
from .celery import app as celery_app

__all__ = ['celery_app']
</code></pre>

<p>In my user_management app (drf_project/user_mangement/) I added a tasks.py </p>

<pre><code>from celery import Celery
from time import strftime

app = Celery()

@app.task
def print_test():
    print strftime('%Y-%m-%d %H:%M:%S')
    with open('abc.txt', 'ab+') as test_file:
        test_file.writeline(strftime('%Y-%m-%d %H:%M:%S'))
</code></pre>

<p>when i run the celery worker and my django project dev server in different terminals by:</p>

<pre><code> celery -A drf_project worker -l info
</code></pre>

<p>and</p>

<pre><code> python manage.py runserver
</code></pre>

<p>I can see my task in celery log like:</p>

<pre><code>[tasks]
   . user_management.tasks.print_test
</code></pre>

<p>But it is not executing. Also I am not getting any error. SO what I am doing wrong? I followed the official documentation of celery.</p>
",python django celery,1
,Python script to insert in sqlite table,"<p>I am getting some data through user input and then I have to insert the same data in sqlite tables.</p>

<pre><code>conn = sqlite.connect('c:/sqlite/test.db')
c = conn.cursor()

c.execute(""Select Max(person_id) from persons"")
person_id =c.fetchone()[0]

person_name = input (""Please provide User Name: "")
user_id= input(""Please user_id table: "")
home_floor = input (""Please provide home floor for user: "")
start_dt= input(""Please enter start date (yyyy-mm-dd) for User : "")
end_dt = input (""Please enter end date (yyyy-mm-dd) for User: "")

c.execute('insert into Person values (%s,%s,%s,%s,%s,%s) person_id,person_name,user_id,home_floor,start_dt,end_dt)
</code></pre>
",python sqlite,1
,How to store multiple product under one shop? How to manage certain situation in Mysql,"<p>I guys, i'm working on a e-commerce website where in, Mysql i got two tables. Products and Shops now i have condition where, i need to add Multiple product under one shop in my shop table. i'm confused how to figure out this thing. please give soltion or atleast Table structure so that, i can implement according to that.
i need table colum structure thank you.</p>
",php mysql sql database,1
,Select data between a date/time range,"How do I select data between a date range in MySQL. My datetime column is in 24-hour zulu time format.

select * from hockey_stats 
where game_date between '11/3/2012 00:00:00' and '11/5/2012 23:59:00' 
order by game_date desc;
Returns nothing despite having data between these time periods. Do I have to force the values in the 'from' and 'to' fields to datetime type in the query?","mysql
datetime",1
,How do I pass data between Activities in Android application?,"I have a scenario where, after logging in through a login page, there will be a sign-out button on each activity.

On clicking sign-out, I will be passing the session id of the signed in user to sign-out. Can anyone guide me on how to keep session id available to all activities?

Any alternative to this case","android
android-intent
android-activity",1
